39,yes,no,skiing:knitting:dancing,220 W 42nd St New York NY,43,no,yes,soccer:reading:scrabble,824 3rd Ave New York NY,0
23,no,no,football:fashion,102 1st Ave New York NY,30,no,no,snowboarding:knitting:computers:shopping:tv:travel,151 W 34th St New York NY,1
50,no,no,fashion:opera:tv:travel,686 Avenue of the Americas New York NY,49,yes,yes,soccer:fashion:photography:computers:camping:movies:tv,824 3rd Ave New York NY,0
46,no,yes,skiing:reading:knitting:writing:shopping,154 7th Ave New York NY,19,no,no,dancing:opera:travel,1560 Broadway New York NY,0
36,yes,yes,skiing:knitting:camping:writing:cooking,151 W 34th St New York NY,29,no,yes,art:movies:cooking:scrabble,966 3rd Ave New York NY,1
27,no,no,snowboarding:knitting:fashion:camping:cooking,27 3rd Ave New York NY,19,yes,yes,football:computers:writing,14 E 47th St New York NY,0
36,no,no,cooking,208 Varick St New York NY,25,no,yes,snowboarding:computers:scrabble,451 Lexington Ave New York NY,0
41,yes,yes,snowboarding:football:reading:fashion:computers:camping:writing,26 Bowery New York NY,23,yes,no,skiing:football:movies:opera:shopping:travel,151 W 34th St New York NY,0
21,no,no,snowboarding:football:camping:travel,2049 Broadway New York NY,18,yes,no,skiing:snowboarding:reading:fashion:art:animals:camping,1560 Broadway New York NY,1
39,no,yes,soccer:dancing:writing:shopping:tv:scrabble,556 7th Ave New York NY,21,no,no,football:photography:scrabble,2049 Broadway New York NY,0
